file_name	seed	formula_x	formula_y
2022-02-20-20-32_seed_8140.png	8140	runif(1, -1, 1) * sqrt(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-34_seed_1986.png	1986	runif(1, -1, 1) * sqrt(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-34_seed_1606.png	1606	runif(1, -1, 1) * sqrt(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-35_seed_78.png	78	runif(1, -1, 1) * sin(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-35_seed_8553.png	8553	runif(1, -1, 1) * sin(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-36_seed_2169.png	2169	runif(1, -1, 1) * cosh(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-36_seed_2798.png	2798	runif(1, -1, 1) * cosh(y_i^3 + x_i^3)	runif(1, -1, 1) * y_i^3 * cos(x_i^2)
2022-02-20-20-37_seed_2956.png	2956	runif(1, -1, 1) * cosh(y_i^3 + x_i^5)	runif(1, -1, 1) * y_i^3 * sinh(x_i^5)
2022-02-20-20-37_seed_8554.png	8554	runif(1, -1, 1) * cosh(y_i^3 + x_i^5)	runif(1, -1, 1) * y_i^3 * sinh(x_i^5)
2022-02-20-20-38_seed_751.png	751	runif(1, -1, 1) * cosh(y_i^3)	runif(1, -1, 1) * sinh(x_i^5)
2022-02-20-20-38_seed_1766.png	1766	runif(1, -1, 1) * cosh(y_i^3)	runif(1, -1, 1) * sinh(x_i^5)
2022-02-20-20-38_seed_3567.png	3567	runif(1, -1, 1) * cos(y_i^3)	runif(1, -1, 1) * sin(x_i^5)
2022-02-20-20-39_seed_2805.png	2805	runif(1, -1, 1) * cos(y_i^3)	runif(1, -1, 1) * sin(x_i^5)
2022-02-20-20-40_seed_8876.png	8876	runif(1, -1, 1) * cos(y_i^7) * x_i	runif(1, -1, 1) * sin(x_i^3) * y_i
2022-02-20-20-40_seed_8422.png	8422	runif(1, -1, 1) * cos(y_i^7) * x_i	runif(1, -1, 1) * sin(x_i^3) * y_i
2022-02-20-20-41_seed_6029.png	6029	runif(1, -1, 1) * cos(y_i^7) * x_i	runif(1, -1, 1) * sin(x_i^3) * y_i
2022-02-20-20-41_seed_4753.png	4753	runif(1, -1, 1) * cos(y_i^7) * x_i	runif(1, -1, 1) * sin(x_i^3) * y_i
2022-02-20-20-41_seed_189.png	189	runif(1, -1, 1) * cos(y_i^7) * x_i	runif(1, -1, 1) * sin(x_i^3) * y_i
2022-02-20-20-42_seed_5699.png	5699	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^3) * y_i
2022-02-20-20-43_seed_2844.png	2844	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^3) * y_i
2022-02-20-20-43_seed_9858.png	9858	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^3) * y_i
2022-02-20-20-44_seed_3658.png	3658	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-20-44_seed_9045.png	9045	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-20-44_seed_644.png	644	runif(1, -1, 1) * sin(y_i^7) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-20-45_seed_5777.png	5777	runif(1, -1, 1) * sin(y_i^7)	runif(1, -1, 1) * cos(x_i^5)
2022-02-20-20-46_seed_9076.png	9076	runif(1, -1, 1) * sin(y_i^7)	runif(1, -1, 1) * cos(x_i^5)
2022-02-20-20-46_seed_7684.png	7684	runif(1, -1, 1) * sin(y_i^7)	runif(1, -1, 1) * cos(x_i^5)
2022-02-20-20-47_seed_9705.png	9705	runif(1, -1, 1) * sin(y_i) + sqrt(x_i)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-47_seed_7643.png	7643	runif(1, -1, 1) * sin(y_i) + sqrt(x_i)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-47_seed_4918.png	4918	runif(1, -1, 1) * sin(y_i) + sqrt(x_i)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-49_seed_6581.png	6581	runif(1, -1, 1) * sin(y_i) + x_i^(1/2)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-49_seed_2536.png	2536	runif(1, -1, 1) * sin(y_i) + x_i^(1/2)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-49_seed_2152.png	2152	runif(1, -1, 1) * sin(y_i) + x_i^(1/2)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-50_seed_6288.png	6288	runif(1, -1, 1) * sin(y_i) * x_i^(1/2)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-51_seed_2628.png	2628	runif(1, -1, 1) * sin(y_i) * x_i^(7)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-51_seed_184.png	184	runif(1, -1, 1) * sin(y_i) * x_i^(3)	runif(1, -1, 1) * cos(x_i) * y_i
2022-02-20-20-53_seed_7590.png	7590	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i
2022-02-20-20-53_seed_7982.png	7982	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i
2022-02-20-20-53_seed_903.png	903	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i
2022-02-20-20-54_seed_7712.png	7712	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i^x_i
2022-02-20-20-54_seed_488.png	488	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i^x_i
2022-02-20-20-54_seed_212.png	212	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * y_i^x_i
2022-02-20-20-55_seed_51.png	51	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i * 2)
2022-02-20-20-55_seed_481.png	481	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i * 2)
2022-02-20-20-55_seed_4770.png	4770	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i * 2)
2022-02-20-20-56_seed_7731.png	7731	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i)
2022-02-20-20-56_seed_519.png	519	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i)
2022-02-20-20-56_seed_1588.png	1588	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * (y_i/x_i)
2022-02-20-20-57_seed_3665.png	3665	runif(1, -1, 1) * cos(y_i) * x_i^(5)	runif(1, -1, 1) * sin(x_i) * sin(y_i/x_i)
2022-02-20-20-58_seed_3486.png	3486	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * sin(x_i) * sin(y_i/x_i)
2022-02-20-20-59_seed_9809.png	9809	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * sin(x_i) * sin(y_i/x_i)
2022-02-20-20-59_seed_8690.png	8690	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * sin(x_i) * sin(y_i/x_i)
2022-02-20-20-59_seed_6436.png	6436	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * sin(x_i) * sin(y_i/x_i)
2022-02-20-21-00_seed_9660.png	9660	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * cos(x_i) * cos(y_i/x_i)
2022-02-20-21-01_seed_8075.png	8075	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * cos(x_i) * cos(y_i/x_i)
2022-02-20-21-01_seed_6216.png	6216	runif(1, -1, 1) * cos(y_i) * sin(x_i^5)	runif(1, -1, 1) * cos(x_i) * cos(y_i/x_i)
